ID;Activity;StartTime;EndTime
29;A;2017-01-03 09:58:00;2017-01-03 11:04:00
29;B1;2017-01-03 14:10:00;2017-01-03 15:03:00
29;C;2017-01-03 11:32:00;2017-01-03 18:09:00
29;D1;2017-01-06 10:37:00;2017-01-06 11:02:00
30;A;2017-01-04 17:41:00;2017-01-04 19:07:00
30;B1;2017-01-04 18:58:00;2017-01-05 02:28:00
30;C;2017-01-03 04:54:00;2017-01-03 05:00:00
30;D1;2017-01-03 11:50:00;2017-01-03 09:32:00
31;A;2018-01-23 05:25:00;2018-01-22 11:49:00
31;B1;2018-01-22 15:24:00;2018-01-22 13:36:00
31;C;2018-01-22 12:49:00;2018-01-23 08:04:00
31;D1;2018-01-24 02:04:00;2018-01-23 23:40:00
32;A;2017-12-05 01:06:00;2017-12-04 13:19:00
32;B1;2017-12-04 13:13:00;2017-12-04 17:19:00
32;C;2017-12-05 04:59:00;2017-12-07 01:32:00
32;D1;2017-12-07 15:38:00;2017-12-07 13:48:00
33;A;2017-08-03 15:40:00;2017-08-02 23:53:00
33;B1;2017-08-03 02:22:00;2017-08-03 11:08:00
33;C;2017-08-03 12:44:00;2017-08-03 09:53:00
33;D1;2017-08-01 11:05:00;2017-08-01 14:31:00
34;A;2017-03-25 02:22:00;2017-03-24 19:36:00
34;B1;2017-03-24 17:57:00;2017-03-24 16:18:00
34;C;2017-03-24 05:47:00;2017-03-23 20:28:00
34;D1;2017-03-20 20:46:00;2017-03-21 04:08:00
35;A;2017-08-25 01:11:00;2017-08-25 00:37:00
35;B1;2017-08-24 22:48:00;2017-08-25 02:31:00
35;C;2017-08-25 04:05:00;2017-08-26 02:58:00
35;D1;2017-08-26 10:39:00;2017-08-26 15:21:00
36;A;2017-03-16 02:41:00;2017-03-16 08:55:00
36;B1;2017-03-16 14:00:00;2017-03-16 17:24:00
36;C;2017-03-17 01:50:00;2017-03-17 07:51:00
36;D1;2017-03-17 18:04:00;2017-03-17 19:02:00
37;A;2018-02-16 14:52:00;2018-02-16 10:50:00
37;B1;2018-02-16 10:53:00;2018-02-16 11:32:00
37;C;2018-02-17 03:36:00;2018-02-17 07:07:00
37;D1;2018-02-16 10:46:00;2018-02-16 08:23:00
38;A;2017-03-16 03:09:00;2017-03-16 03:51:00
38;B1;2017-03-16 05:26:00;2017-03-16 11:37:00
38;C;2017-03-16 11:31:00;2017-03-17 10:00:00
38;D1;2017-03-15 02:14:00;2017-03-15 00:25:00
39;A;2017-09-10 17:23:00;2017-09-11 04:14:00
39;B1;2017-09-11 05:55:00;2017-09-11 01:09:00
39;C;2017-09-11 19:47:00;2017-09-11 16:13:00
39;D1;2017-09-13 02:40:00;2017-09-13 03:31:00
40;A;2017-01-05 01:27:00;2017-01-05 15:38:00
40;B1;2017-01-05 15:37:00;2017-01-05 15:51:00
40;C;2017-01-05 16:58:00;2017-01-06 00:08:00
40;D1;2016-12-30 04:02:00;2016-12-30 01:24:00
41;A;2017-02-19 11:22:00;2017-02-19 17:44:00
41;B1;2017-02-19 15:51:00;2017-02-19 05:17:00
41;C;2017-02-18 19:00:00;2017-02-19 23:41:00
41;D1;2017-02-18 15:32:00;2017-02-18 18:08:00
42;A;2017-10-30 02:10:00;2017-10-29 16:58:00
42;B1;2017-10-29 20:08:00;2017-10-29 17:03:00
42;C;2017-10-30 01:52:00;2017-10-29 21:39:00
42;D1;2017-10-30 02:30:00;2017-10-30 00:47:00
43;A;2017-01-28 20:20:00;2017-01-29 05:04:00
43;B1;2017-01-29 07:51:00;2017-01-29 06:46:00
43;C;2017-01-29 03:26:00;2017-01-28 19:44:00
43;D1;2017-01-29 18:08:00;2017-01-29 19:35:00
44;A;2017-01-21 04:04:00;2017-01-21 18:43:00
44;B1;2017-01-22 00:58:00;2017-01-21 20:17:00
44;C;2017-01-19 10:27:00;2017-01-17 23:59:00
44;D1;2017-01-16 19:15:00;2017-01-16 19:12:00
45;A;2017-01-16 19:20:00;2017-01-16 14:21:00
45;B1;2017-01-16 16:15:00;2017-01-16 20:15:00
45;C;2017-01-16 08:04:00;2017-01-15 08:23:00
45;D1;2017-01-16 07:00:00;2017-01-16 12:08:00
46;A;2017-03-05 15:01:00;2017-03-05 06:10:00
46;B1;2017-03-05 05:55:00;2017-03-05 06:19:00
46;C;2017-03-06 12:27:00;2017-03-06 02:24:00
46;D1;2017-03-06 18:13:00;2017-03-07 00:16:00
47;A;2017-05-18 14:48:00;2017-05-18 19:23:00
47;B1;2017-05-19 00:33:00;2017-05-18 22:34:00
47;C;2017-05-19 18:35:00;2017-05-20 14:21:00
47;D1;2017-05-18 09:39:00;2017-05-19 13:25:00
48;A;2018-03-14 09:55:00;2018-03-15 07:24:00
48;B1;2018-03-15 06:50:00;2018-03-15 05:21:00
48;C;2018-03-16 03:04:00;2018-03-14 19:37:00
48;D1;2018-03-14 19:52:00;2018-03-14 22:09:00
49;A;2017-09-14 07:02:00;2017-09-14 03:58:00
49;B1;2017-09-14 02:58:00;2017-09-14 03:07:00
49;C;2017-09-14 11:36:00;2017-09-13 12:15:00
49;D1;2017-09-13 19:19:00;2017-09-13 14:30:00
50;A;2017-08-22 16:07:00;2017-08-23 12:59:00
50;B1;2017-08-23 11:33:00;2017-08-23 16:41:00
50;C;2017-08-23 12:53:00;2017-08-23 01:35:00
50;D1;2017-08-25 13:14:00;2017-08-25 22:48:00
51;A;2017-01-24 23:21:00;2017-01-25 11:07:00
51;B1;2017-01-25 16:15:00;2017-01-25 16:40:00
51;C;2017-01-25 17:57:00;2017-01-26 00:38:00
51;D1;2017-01-27 01:34:00;2017-01-27 02:08:00
52;A;2017-01-29 10:16:00;2017-01-29 07:50:00
52;B1;2017-01-29 08:52:00;2017-01-29 08:57:00
52;C;2017-01-30 07:13:00;2017-01-29 03:29:00
52;D1;2017-01-29 19:56:00;2017-01-29 18:37:00
53;A;2017-09-10 00:22:00;2017-09-10 04:43:00
53;B1;2017-09-10 03:43:00;2017-09-10 09:08:00
53;C;2017-09-09 05:31:00;2017-09-08 18:07:00
53;D1;2017-09-07 11:18:00;2017-09-07 13:32:00
54;A;2017-09-27 17:33:00;2017-09-27 18:21:00
54;B1;2017-09-27 18:19:00;2017-09-27 17:35:00
54;C;2017-09-28 04:55:00;2017-09-28 04:06:00
54;D1;2017-09-26 21:58:00;2017-09-26 20:21:00
55;A;2017-03-04 11:56:00;2017-03-04 02:25:00
55;B1;2017-03-04 05:27:00;2017-03-04 09:07:00
55;C;2017-03-05 00:12:00;2017-03-03 23:37:00
55;D1;2017-03-05 03:04:00;2017-03-05 16:51:00
56;A;2018-11-04 21:42:00;2018-11-04 17:22:00
56;B1;2018-11-04 18:49:00;2018-11-04 21:53:00
56;C;2018-11-04 16:47:00;2018-11-04 18:44:00
56;D1;2018-11-07 22:21:00;2018-11-07 22:18:00
57;A;2017-07-09 15:18:00;2017-07-09 18:18:00
57;B1;2017-07-09 20:07:00;2017-07-09 17:56:00
57;C;2017-07-09 10:52:00;2017-07-09 16:00:00
57;D1;2017-07-11 18:59:00;2017-07-11 18:30:00
58;A;2017-06-23 12:54:00;2017-06-23 18:29:00
58;B1;2017-06-23 17:41:00;2017-06-24 01:08:00
58;C;2017-06-22 03:56:00;2017-06-21 20:02:00
58;D1;2017-06-21 00:51:00;2017-06-21 00:54:00
59;A;2018-08-11 22:31:00;2018-08-11 07:18:00
59;B1;2018-08-11 07:32:00;2018-08-11 07:01:00
59;C;2018-08-11 11:11:00;2018-08-12 04:31:00
59;D1;2018-08-11 12:49:00;2018-08-11 10:14:00
60;A;2017-03-01 17:17:00;2017-03-01 17:27:00
60;B1;2017-03-01 19:35:00;2017-03-01 22:31:00
60;C;2017-03-06 13:25:00;2017-03-06 04:50:00
60;D1;2017-02-27 13:32:00;2017-02-27 12:39:00
61;A;2017-02-19 16:33:00;2017-02-19 17:27:00
61;B2;2017-02-19 17:36:00;2017-02-20 01:26:00
61;C;2017-02-19 19:02:00;2017-02-20 03:06:00
61;D1;2017-02-20 08:50:00;2017-02-20 07:34:00
62;A;2017-07-25 20:36:00;2017-07-26 01:05:00
62;B1;2017-07-25 21:55:00;2017-07-25 19:09:00
62;C;2017-07-26 15:11:00;2017-07-28 05:24:00
62;D1;2017-07-29 08:56:00;2017-07-29 04:53:00
63;A;2017-02-14 22:07:00;2017-02-14 19:28:00
63;B1;2017-02-14 15:43:00;2017-02-14 17:01:00
63;C;2017-02-10 17:45:00;2017-02-11 22:38:00
63;D1;2017-02-18 05:46:00;2017-02-18 11:44:00
64;A;2017-02-11 00:26:00;2017-02-10 22:15:00
64;B1;2017-02-10 23:47:00;2017-02-11 04:13:00
64;C;2017-02-11 00:11:00;2017-02-10 10:12:00
64;D1;2017-02-13 22:01:00;2017-02-13 23:01:00
65;A;2017-11-20 17:43:00;2017-11-19 22:01:00
65;B1;2017-11-19 21:42:00;2017-11-19 22:07:00
65;C;2017-11-18 02:07:00;2017-11-18 17:29:00
65;D1;2017-11-19 13:27:00;2017-11-18 20:31:00
66;A;2017-04-26 18:28:00;2017-04-26 03:21:00
66;B1;2017-04-26 03:06:00;2017-04-26 05:13:00
66;C;2017-04-25 17:04:00;2017-04-25 19:46:00
66;D1;2017-04-23 08:13:00;2017-04-23 08:11:00
67;A;2017-07-28 05:20:00;2017-07-27 20:29:00
67;B1;2017-07-27 20:32:00;2017-07-28 00:39:00
67;C;2017-07-27 23:57:00;2017-07-27 14:26:00
67;D1;2017-07-29 04:35:00;2017-07-29 10:19:00
68;A;2018-01-16 18:29:00;2018-01-16 12:42:00
68;B1;2018-01-16 13:00:00;2018-01-16 22:57:00
68;C;2018-01-18 09:23:00;2018-01-19 09:53:00
68;D1;2018-01-21 04:28:00;2018-01-21 05:47:00
69;A;2017-04-16 22:28:00;2017-04-17 04:14:00
69;B1;2017-04-17 04:31:00;2017-04-17 03:59:00
69;C;2017-04-15 00:01:00;2017-04-14 14:57:00
69;D1;2017-04-12 13:16:00;2017-04-12 11:30:00
70;A;2020-03-11 14:06:00;2020-03-11 17:11:00
70;B1;2020-03-11 12:50:00;2020-03-11 14:41:00
70;C;2020-03-12 21:47:00;2020-03-13 02:48:00
70;D1;2020-03-13 06:04:00;2020-03-13 05:38:00
71;A;2017-04-22 13:01:00;2017-04-22 13:33:00
71;B1;2017-04-22 15:02:00;2017-04-22 15:27:00
71;C;2017-04-22 13:09:00;2017-04-21 12:21:00
71;D1;2017-04-22 13:52:00;2017-04-22 17:19:00
72;A;2018-07-31 12:26:00;2018-07-31 15:47:00
72;B1;2018-07-31 16:47:00;2018-07-31 09:43:00
72;C;2018-07-29 13:25:00;2018-07-29 20:06:00
72;D1;2018-07-29 19:43:00;2018-07-29 19:54:00
73;A;2017-06-17 13:28:00;2017-06-17 14:37:00
73;B1;2017-06-17 17:52:00;2017-06-17 21:26:00
73;C;2017-06-22 19:50:00;2017-06-19 12:35:00
73;D1;2017-06-18 17:51:00;2017-06-18 10:58:00
74;A;2017-01-19 05:08:00;2017-01-19 00:40:00
74;B1;2017-01-19 01:38:00;2017-01-19 02:29:00
74;C;2017-01-23 09:09:00;2017-01-23 09:44:00
74;D1;2017-01-24 03:23:00;2017-01-24 04:03:00
75;A;2017-07-28 06:45:00;2017-07-27 22:12:00
75;B1;2017-07-27 21:58:00;2017-07-28 00:38:00
75;C;2017-07-28 08:35:00;2017-07-27 14:41:00
75;D1;2017-07-26 19:21:00;2017-07-26 23:12:00
76;A;2017-05-25 09:31:00;2017-05-25 13:50:00
76;B1;2017-05-25 11:35:00;2017-05-25 18:24:00
76;C;2017-05-25 10:39:00;2017-05-25 03:58:00
76;D1;2017-05-26 04:11:00;2017-05-26 00:49:00
77;A;2018-04-04 03:24:00;2018-04-04 13:56:00
77;B1;2018-04-04 16:34:00;2018-04-04 14:38:00
77;C;2018-04-04 09:42:00;2018-04-04 18:23:00
77;D1;2018-04-04 16:59:00;2018-04-04 20:56:00
78;A;2017-01-13 15:35:00;2017-01-14 14:59:00
78;B1;2017-01-14 12:56:00;2017-01-14 13:28:00
78;C;2017-01-15 02:33:00;2017-01-15 10:10:00
78;D1;2017-01-12 04:04:00;2017-01-12 01:45:00
79;A;2017-01-18 20:21:00;2017-01-19 01:09:00
79;B1;2017-01-19 06:44:00;2017-01-18 23:25:00
79;C;2017-01-18 22:52:00;2017-01-22 03:40:00
79;D1;2017-01-23 09:28:00;2017-01-23 07:41:00
80;A;2017-02-11 02:51:00;2017-02-11 09:28:00
80;B1;2017-02-11 08:03:00;2017-02-11 06:10:00
80;C;2017-02-08 19:52:00;2017-02-09 11:58:00
80;D1;2017-02-08 16:28:00;2017-02-08 18:35:00
81;A;2017-10-11 16:06:00;2017-10-10 15:59:00
81;B1;2017-10-10 16:33:00;2017-10-10 17:38:00
81;C;2017-10-12 10:12:00;2017-10-12 07:35:00
81;D1;2017-10-21 06:50:00;2017-10-21 04:44:00
82;A;2017-06-16 03:51:00;2017-06-16 11:14:00
82;B1;2017-06-16 10:55:00;2017-06-16 12:42:00
82;C;2017-06-19 00:26:00;2017-06-19 15:21:00
82;D1;2017-06-18 07:32:00;2017-06-18 10:31:00
83;A;2018-10-07 12:41:00;2018-10-06 04:50:00
83;B1;2018-10-06 03:24:00;2018-10-06 02:14:00
83;C;2018-10-05 22:14:00;2018-10-05 23:01:00
83;D1;2018-10-05 18:34:00;2018-10-05 15:23:00
84;A;2017-03-29 23:39:00;2017-03-30 03:17:00
84;B1;2017-03-30 03:49:00;2017-03-30 07:15:00
84;C;2017-03-30 13:19:00;2017-03-30 15:52:00
84;D1;2017-04-01 04:08:00;2017-04-01 05:00:00
85;A;2018-06-05 11:36:00;2018-06-05 13:42:00
85;B1;2018-06-05 14:20:00;2018-06-05 15:46:00
85;C;2018-06-07 10:07:00;2018-06-07 22:10:00
85;D1;2018-06-07 06:45:00;2018-06-07 09:02:00
86;A;2017-11-23 20:22:00;2017-11-26 19:28:00
86;B1;2017-11-26 19:27:00;2017-11-26 16:31:00
86;C;2017-11-26 20:28:00;2017-11-27 13:20:00
86;D1;2017-11-28 00:00:00;2017-11-28 01:09:00
87;A;2017-05-08 05:02:00;2017-05-08 00:54:00
87;B1;2017-05-08 02:40:00;2017-05-08 11:52:00
87;C;2017-05-06 09:00:00;2017-05-06 12:50:00
87;D1;2017-05-07 01:29:00;2017-05-07 00:27:00
88;A;2018-05-06 15:07:00;2018-05-06 09:04:00
88;B1;2018-05-06 09:46:00;2018-05-06 11:09:00
88;C;2018-05-06 04:48:00;2018-05-06 04:18:00
88;D1;2018-05-06 18:48:00;2018-05-06 12:03:00
89;A;2017-06-26 15:23:00;2017-06-27 02:09:00
89;B1;2017-06-27 01:20:00;2017-06-27 04:34:00
89;C;2017-06-25 20:04:00;2017-06-26 02:40:00
89;D1;2017-06-25 07:15:00;2017-06-24 21:47:00
90;A;2017-01-07 07:22:00;2017-01-07 15:23:00
90;B1;2017-01-07 15:58:00;2017-01-07 17:03:00
90;C;2017-01-11 10:45:00;2017-01-08 17:32:00
90;D1;2017-01-08 01:17:00;2017-01-08 00:58:00
91;A;2017-01-02 08:14:00;2017-01-01 16:03:00
91;B1;2017-01-01 10:35:00;2017-01-01 11:35:00
91;C;2017-01-04 09:46:00;2017-01-03 05:43:00
91;D1;2017-01-01 06:03:00;2016-12-31 19:53:00
92;A;2017-04-18 11:56:00;2017-04-18 14:53:00
92;B2;2017-04-18 12:49:00;2017-04-18 17:56:00
92;C;2017-04-18 22:34:00;2017-04-19 03:53:00
92;D1;2017-04-17 13:43:00;2017-04-18 01:12:00
93;A;2017-08-22 23:36:00;2017-08-22 16:41:00
93;B1;2017-08-22 15:14:00;2017-08-22 15:10:00
93;C;2017-08-20 15:56:00;2017-08-20 09:59:00
93;D1;2017-08-18 21:08:00;2017-08-18 20:31:00
94;A;2017-04-13 18:17:00;2017-04-13 19:30:00
94;B1;2017-04-13 17:40:00;2017-04-13 22:16:00
94;C;2017-04-14 08:33:00;2017-04-14 03:07:00
94;D1;2017-04-11 01:35:00;2017-04-11 04:21:00
95;A;2017-02-17 22:02:00;2017-02-17 06:49:00
95;B1;2017-02-17 07:24:00;2017-02-17 20:30:00
95;C;2017-02-17 07:05:00;2017-02-17 22:25:00
95;D1;2017-02-19 12:46:00;2017-02-19 09:21:00
96;A;2017-01-20 01:53:00;2017-01-20 03:20:00
96;B1;2017-01-20 02:58:00;2017-01-19 23:32:00
96;C;2017-01-20 12:26:00;2017-01-19 08:38:00
96;D1;2017-01-19 06:13:00;2017-01-19 07:39:00
97;A;2017-03-05 18:40:00;2017-03-05 21:29:00
97;B1;2017-03-05 23:30:00;2017-03-05 20:06:00
97;C;2017-03-05 03:34:00;2017-03-05 18:45:00
97;D1;2017-03-07 01:03:00;2017-03-07 05:11:00
98;A;2017-01-24 06:14:00;2017-01-24 07:51:00
98;B1;2017-01-24 08:01:00;2017-01-24 08:13:00
98;C;2017-01-24 00:20:00;2017-01-24 18:09:00
98;D1;2017-01-28 18:53:00;2017-01-29 03:18:00
99;A;2017-07-29 08:03:00;2017-07-29 19:47:00
99;B2;2017-07-29 22:12:00;2017-07-30 03:25:00
99;C;2017-07-30 03:58:00;2017-07-29 21:53:00
99;D1;2017-07-29 19:54:00;2017-07-29 22:23:00
100;A;2017-01-12 05:30:00;2017-01-11 17:13:00
100;B1;2017-01-11 15:21:00;2017-01-11 17:52:00
100;C;2017-01-10 22:44:00;2017-01-14 00:07:00
100;D1;2017-01-14 16:12:00;2017-01-14 23:59:00
101;A;2017-10-30 02:03:00;2017-10-31 08:04:00
101;B1;2017-10-31 08:15:00;2017-10-31 00:30:00
101;C;2017-10-31 13:22:00;2017-11-02 01:05:00
101;D1;2017-11-03 07:39:00;2017-11-03 08:51:00
102;A;2017-05-02 23:19:00;2017-05-02 18:35:00
102;B1;2017-05-02 17:39:00;2017-05-02 20:13:00
102;C;2017-04-30 13:51:00;2017-04-30 16:49:00
102;D1;2017-04-28 13:34:00;2017-04-28 12:43:00
103;A;2017-12-04 21:35:00;2017-12-04 13:08:00
103;B1;2017-12-04 17:50:00;2017-12-04 22:48:00
103;C;2017-12-04 20:34:00;2017-12-05 04:24:00
103;D1;2017-12-04 09:57:00;2017-12-04 10:28:00
104;A;2017-06-06 22:53:00;2017-06-06 20:42:00
104;B1;2017-06-06 20:17:00;2017-06-07 02:31:00
104;C;2017-06-06 13:01:00;2017-06-07 14:03:00
104;D1;2017-06-10 10:32:00;2017-06-10 07:55:00
105;A;2017-03-31 10:50:00;2017-03-31 03:24:00
105;B1;2017-03-31 02:50:00;2017-03-31 06:57:00
105;C;2017-03-28 13:46:00;2017-03-26 22:10:00
105;D1;2017-03-31 03:19:00;2017-03-30 23:38:00
106;A;2017-01-02 06:54:00;2017-01-02 00:24:00
106;B1;2017-01-02 01:16:00;2017-01-02 06:01:00
106;C;2017-01-02 21:20:00;2017-01-01 02:11:00
106;D1;2017-01-03 09:55:00;2017-01-03 09:34:00
107;A;2017-05-13 16:55:00;2017-05-12 19:24:00
107;B1;2017-05-12 20:26:00;2017-05-12 18:32:00
107;C;2017-05-14 12:36:00;2017-05-14 12:35:00
107;D1;2017-05-14 08:56:00;2017-05-14 11:27:00
108;A;2017-02-20 10:59:00;2017-02-20 10:32:00
108;B1;2017-02-20 05:37:00;2017-02-20 06:54:00
108;C;2017-02-20 06:10:00;2017-02-18 12:52:00
108;D1;2017-02-14 11:47:00;2017-02-14 15:43:00
109;A;2017-02-04 14:48:00;2017-02-03 17:18:00
109;B1;2017-02-03 16:30:00;2017-02-03 16:42:00
109;C;2017-02-04 00:30:00;2017-02-01 22:28:00
109;D1;2017-02-03 00:21:00;2017-02-03 03:35:00
110;A;2017-08-21 05:57:00;2017-08-21 16:58:00
110;B1;2017-08-21 16:55:00;2017-08-21 15:58:00
110;C;2017-08-20 11:49:00;2017-08-20 00:12:00
110;D1;2017-08-23 17:49:00;2017-08-23 18:38:00
111;A;2017-01-26 05:53:00;2017-01-24 13:48:00
111;B1;2017-01-24 11:54:00;2017-01-24 09:32:00
111;C;2017-01-25 03:25:00;2017-01-25 06:46:00
111;D1;2017-01-25 17:02:00;2017-01-25 19:36:00
112;A;2017-02-06 20:22:00;2017-02-07 02:18:00
112;B1;2017-02-07 03:38:00;2017-02-07 03:42:00
112;C;2017-02-08 00:24:00;2017-02-08 00:50:00
112;D1;2017-02-11 11:52:00;2017-02-11 12:35:00
113;A;2017-04-17 10:37:00;2017-04-17 06:15:00
113;B1;2017-04-17 06:10:00;2017-04-17 03:45:00
113;C;2017-04-17 09:11:00;2017-04-17 10:34:00
113;D1;2017-04-17 21:29:00;2017-04-17 22:19:00
114;A;2017-01-11 23:48:00;2017-01-12 07:06:00
